username,nom,prenom,email,telephone,dateCreation,password,administrateur,actif,campus
Orci Inc.,Emmanuel,Patel,risus.Duis.a@Donecfeugiat.edu,02 23 16 47 09,2020-02-27 02:49:52,molestie orci tincidunt adipiscing. Mauris,True,True,"Poitiers, Niort, Paris3"
Sit LLC,Gage,Garrett,augue.scelerisque.mollis@Crasvehicula.ca,05 11 21 30 01,2019-04-25 14:36:45,"arcu iaculis enim, sit amet",False,True,"Niort, Poitiers, Paris3"
Amet Luctus LLC,Ira,Weiss,nec@temporarcuVestibulum.net,07 83 25 86 35,2019-07-07 16:24:43,sem ut dolor dapibus gravida. Aliquam,False,True,"Poitiers, Niort, Paris3"
Pede Ac Urna Incorporated,Henry,Molina,mi@sapien.com,06 01 57 42 27,2020-06-28 08:17:27,libero. Donec consectetuer mauris id sapien. Cras,False,True,"Poitiers, Paris3, Niort"
Mattis Semper Dui LLC,Clayton,Key,Mauris.eu@justoPraesentluctus.net,04 93 88 73 99,2021-03-10 22:27:43,"massa non ante bibendum ullamcorper. Duis cursus,",False,True,"Poitiers, Niort, Paris3"
Donec Foundation,Brenden,Sears,Proin.velit@sedturpis.org,05 65 26 36 35,2019-09-12 12:47:47,"eu, eleifend nec, malesuada ut, sem. Nulla interdum. Curabitur dictum.",True,True,"Niort, Paris3, Poitiers"
Vulputate Risus Inc.,Macon,Spears,nec@Vivamusmolestie.edu,01 76 59 33 10,2020-12-30 08:34:20,ante. Vivamus non lorem vitae odio sagittis,False,True,"Niort, Poitiers, Paris3"
Dignissim Associates,Dylan,Mueller,ipsum.primis.in@ornareelitelit.ca,05 69 43 69 04,2019-04-25 07:53:07,"nisi magna sed dui. Fusce aliquam, enim",False,True,"Paris3, Niort, Poitiers"
Pharetra Quisque Ac Company,Travis,Stephens,ante.dictum.mi@disparturient.com,01 85 50 18 71,2020-06-06 15:44:14,"Aliquam gravida mauris ut mi. Duis risus odio, auctor",False,True,"Paris3, Poitiers, Niort"
Dolor Elit Pellentesque Limited,Barrett,Richard,adipiscing.fringilla@rutrumnonhendrerit.net,06 16 02 12 33,2020-08-08 01:44:21,"ut aliquam iaculis, lacus pede sagittis augue, eu",True,True,"Paris3, Poitiers, Niort"
Enim Gravida Sit Limited,Logan,Buckley,eget@nonmagna.ca,01 16 16 66 60,2019-11-02 21:59:39,arcu. Curabitur ut odio vel est,False,True,"Paris3, Poitiers, Niort"
Est Nunc PC,Tiger,Bridges,non@pretiumet.ca,05 86 22 21 58,2020-12-22 20:59:06,neque. Nullam ut nisi a odio semper,True,True,"Niort, Paris3, Poitiers"
Amet Consectetuer Associates,Perry,Little,non.leo@tellusNunc.org,08 26 38 70 26,2020-06-23 07:03:17,"In mi pede, nonummy ut, molestie in, tempus eu,",True,True,"Paris3, Niort, Poitiers"
Scelerisque Sed Industries,Francis,Marks,vulputate.eu@Phasellusvitae.co.uk,03 99 63 23 01,2019-06-10 05:40:21,"Phasellus elit pede, malesuada vel, venenatis",True,True,"Poitiers, Niort, Paris3"
Dolor Dapibus Gravida Associates,Carl,Wong,eget.dictum@urna.com,06 04 86 74 91,2019-10-20 05:57:48,vitae odio sagittis semper. Nam tempor diam dictum sapien.,False,True,"Poitiers, Paris3, Niort"
Nullam Vitae Associates,Kermit,Brewer,Aliquam.erat.volutpat@utodiovel.co.uk,04 83 26 35 19,2019-07-13 06:37:28,magna. Cras convallis convallis dolor. Quisque,True,True,"Poitiers, Paris3, Niort"
Urna Nullam Institute,Erich,Velasquez,rhoncus.id@leo.edu,08 65 64 13 53,2020-12-26 03:39:49,"sed orci lobortis augue scelerisque mollis. Phasellus libero mauris,",False,True,"Niort, Paris3, Poitiers"
Nulla Ltd,Yasir,Guerrero,Quisque@laoreetipsum.co.uk,01 63 72 38 09,2020-06-13 05:04:10,augue. Sed molestie. Sed id risus quis,False,True,"Niort, Paris3, Poitiers"
Ipsum Dolor Sit Institute,Chandler,Bean,in.sodales.elit@a.org,06 47 85 33 22,2019-10-02 03:24:17,vitae mauris sit amet lorem semper,True,True,"Paris3, Niort, Poitiers"
Quisque Porttitor Inc.,Fulton,Hutchinson,Donec@Vivamus.org,05 84 63 67 68,2019-06-01 19:12:08,"sapien. Aenean massa. Integer vitae nibh. Donec est mauris, rhoncus",False,True,"Niort, Poitiers, Paris3"
Egestas Aliquam LLP,Gavin,Miles,non.ante@vel.net,02 00 70 29 06,2019-07-31 12:14:34,"Nunc ac sem ut dolor dapibus gravida. Aliquam tincidunt,",False,True,"Niort, Paris3, Poitiers"
Enim Industries,Deacon,Ballard,Integer.eu.lacus@Praesenteunulla.ca,06 01 99 40 69,2020-05-15 02:30:39,"auctor quis, tristique ac, eleifend vitae, erat. Vivamus nisi. Mauris",True,True,"Paris3, Poitiers, Niort"
Odio Aliquam Consulting,Kamal,Carey,nunc.sit.amet@tempor.com,04 26 65 34 81,2019-11-05 19:22:48,sed pede nec ante blandit viverra.,False,True,"Paris3, Niort, Poitiers"
Lacus Associates,Castor,Cote,Aliquam.erat@lacusUt.org,03 34 60 69 20,2020-07-02 20:43:27,velit. Aliquam nisl. Nulla eu neque pellentesque massa lobortis,True,True,"Poitiers, Niort, Paris3"
Risus Associates,Judah,Sawyer,velit.eu.sem@auctorMauris.edu,07 63 50 85 02,2020-12-11 20:27:09,Nulla aliquet. Proin velit. Sed malesuada augue ut,True,True,"Niort, Poitiers, Paris3"
Mauris Eu Turpis Limited,Camden,Taylor,molestie.Sed@Duisrisusodio.net,07 92 79 81 73,2021-02-12 22:12:30,"Donec est mauris, rhoncus id, mollis nec,",True,True,"Niort, Poitiers, Paris3"
Luctus Ut Pellentesque Institute,Nathaniel,Shields,augue@varius.ca,05 78 28 39 42,2020-10-05 15:55:22,a neque. Nullam ut nisi a odio semper cursus.,True,True,"Poitiers, Paris3, Niort"
Dolor Tempus Non LLC,Fulton,Woodard,lobortis@metus.co.uk,09 20 82 82 50,2019-09-22 01:39:36,"ut dolor dapibus gravida. Aliquam tincidunt, nunc ac mattis",True,True,"Poitiers, Paris3, Niort"
Luctus Ut LLP,Garrett,Francis,iaculis@venenatislacusEtiam.ca,04 19 62 54 49,2020-06-08 15:44:33,"vulputate eu, odio. Phasellus at augue id ante dictum",True,True,"Paris3, Poitiers, Niort"
Neque Et Nunc Industries,Abraham,Mccoy,lacus@a.org,03 33 37 50 71,2019-12-24 10:23:02,"leo elementum sem, vitae aliquam",False,True,"Paris3, Poitiers, Niort"
Blandit Congue In PC,Gannon,Castillo,metus@lacusvariuset.edu,02 52 50 94 11,2021-03-12 15:29:49,imperdiet dictum magna. Ut tincidunt orci quis,True,True,"Poitiers, Niort, Paris3"
Eget Nisi Limited,Alden,Craig,amet@magnaUttincidunt.ca,01 04 97 17 34,2020-03-02 01:22:42,quam. Pellentesque habitant morbi tristique senectus et netus et,True,True,"Niort, Poitiers, Paris3"
Ut Sem Nulla Limited,Arden,Meyers,Aliquam@ut.co.uk,01 55 29 91 10,2020-01-03 21:17:04,Morbi metus. Vivamus euismod urna. Nullam lobortis,True,True,"Paris3, Niort, Poitiers"
Non Magna Corp.,Gareth,Farley,molestie@Maecenasiaculis.edu,04 97 23 98 80,2021-01-06 18:55:27,"quis, tristique ac, eleifend vitae, erat. Vivamus nisi. Mauris",False,True,"Paris3, Niort, Poitiers"
Integer Id Magna Corporation,Thane,Schneider,orci@doloregestasrhoncus.net,01 84 48 66 87,2020-02-04 17:55:22,"penatibus et magnis dis parturient montes, nascetur ridiculus mus. Donec",False,True,"Paris3, Poitiers, Niort"
Sociis Limited,Colorado,Cochran,risus.Donec@ipsumcursus.ca,02 14 56 25 31,2019-12-09 14:05:09,"ante dictum cursus. Nunc mauris elit, dictum eu,",True,True,"Poitiers, Niort, Paris3"
Sodales Corporation,Chadwick,Torres,sed.pede.nec@parturientmontesnascetur.edu,09 02 44 25 05,2019-07-02 04:53:17,"ut lacus. Nulla tincidunt, neque vitae",False,True,"Paris3, Poitiers, Niort"
Nisi LLP,August,Benton,auctor.non@Quisqueaclibero.com,08 00 17 43 93,2021-01-10 22:58:39,imperdiet ornare. In faucibus. Morbi vehicula. Pellentesque tincidunt tempus risus.,False,True,"Poitiers, Niort, Paris3"
Consequat Enim Consulting,Lee,Warren,tempor.erat@Crassedleo.org,01 09 37 37 26,2019-12-05 17:05:04,Aliquam erat volutpat. Nulla facilisis. Suspendisse commodo tincidunt,False,True,"Poitiers, Niort, Paris3"
Arcu Ltd,Baxter,Kirkland,nec@scelerisque.edu,09 66 66 97 78,2020-09-26 05:19:49,"justo faucibus lectus, a sollicitudin orci sem eget massa.",True,True,"Paris3, Niort, Poitiers"
At Pede Cras Industries,Tyrone,Kelley,ullamcorper.velit.in@pedesagittis.net,07 18 26 85 10,2020-02-11 01:26:41,"volutpat ornare, facilisis eget, ipsum. Donec sollicitudin adipiscing",False,True,"Paris3, Poitiers, Niort"
Vulputate Dui Nec LLP,Chaim,Mullins,non.quam@egestasa.ca,08 49 36 21 96,2019-05-25 07:13:39,"ut erat. Sed nunc est, mollis non, cursus non,",False,True,"Poitiers, Niort, Paris3"
Sem Elit Pharetra Company,Finn,Soto,Nullam@nonlorem.org,09 05 27 82 99,2019-10-27 15:23:54,"dapibus id, blandit at, nisi.",True,True,"Niort, Poitiers, Paris3"
Molestie Industries,Cody,Burton,parturient@Nam.com,04 14 84 77 38,2019-06-15 00:52:40,"velit. Cras lorem lorem, luctus ut, pellentesque eget, dictum placerat,",False,True,"Poitiers, Paris3, Niort"
Imperdiet Erat Nonummy PC,Kenneth,Parker,bibendum.ullamcorper.Duis@Morbi.net,05 04 10 93 37,2019-08-06 22:10:03,"elit fermentum risus, at fringilla purus",True,True,"Poitiers, Niort, Paris3"
Nec Associates,Avram,Herman,ligula@molestietortornibh.net,04 40 72 97 49,2020-10-27 12:49:07,Duis a mi fringilla mi lacinia mattis. Integer,True,True,"Poitiers, Niort, Paris3"
Tellus Corp.,Bevis,Norris,felis@Etiambibendumfermentum.ca,01 04 62 90 36,2020-09-16 04:39:55,"consectetuer rhoncus. Nullam velit dui,",False,True,"Poitiers, Niort, Paris3"
Libero Ltd,Macon,Garrison,Nam.ac.nulla@magnaUttincidunt.edu,08 15 59 47 79,2020-07-03 16:08:28,Nullam lobortis quam a felis ullamcorper viverra.,True,True,"Niort, Poitiers, Paris3"
Eros PC,Preston,Marshall,hendrerit@ullamcorper.co.uk,08 64 71 32 34,2020-10-10 05:52:33,arcu. Vestibulum ante ipsum primis in faucibus orci,True,True,"Paris3, Poitiers, Niort"
Volutpat Foundation,Ray,Randall,fames.ac.turpis@magna.co.uk,07 05 28 83 33,2019-05-21 22:27:15,vel turpis. Aliquam adipiscing lobortis risus.,True,True,"Paris3, Poitiers, Niort"
Ligula Nullam Associates,Plato,Huff,id@quislectus.org,07 35 67 23 71,2020-09-15 21:18:29,"egestas. Sed pharetra, felis eget varius ultrices, mauris ipsum",False,True,"Poitiers, Paris3, Niort"
Nullam Scelerisque Neque Ltd,Gage,Lott,elit@odiovelest.co.uk,04 64 61 06 09,2020-05-03 06:19:08,"vitae, erat. Vivamus nisi. Mauris nulla. Integer",False,True,"Poitiers, Niort, Paris3"
Vitae Erat Incorporated,Zachary,Osborn,Vivamus.nisi.Mauris@imperdiet.co.uk,02 62 19 73 52,2020-05-09 09:52:16,"mi lorem, vehicula et, rutrum eu, ultrices sit amet, risus.",True,True,"Poitiers, Niort, Paris3"
Libero Dui Company,Evan,Noble,Integer.id.magna@Fuscealiquam.edu,06 98 22 30 96,2019-07-24 10:49:13,nisl. Maecenas malesuada fringilla est. Mauris eu turpis. Nulla aliquet.,False,True,"Poitiers, Paris3, Niort"
Habitant LLC,Orlando,Sanchez,elementum.at.egestas@imperdietornare.com,08 67 12 69 77,2019-04-16 03:13:37,dignissim tempor arcu. Vestibulum ut eros non enim commodo hendrerit.,False,True,"Paris3, Niort, Poitiers"
Nulla Ante Limited,Byron,Rich,nunc@magna.org,03 52 25 73 42,2021-04-09 20:46:00,"Suspendisse dui. Fusce diam nunc, ullamcorper eu, euismod ac,",True,True,"Poitiers, Paris3, Niort"
Magna Suspendisse Tristique Inc.,Deacon,Hill,non@arcuVestibulum.com,06 31 66 56 99,2021-04-01 03:31:18,"elementum sem, vitae aliquam eros turpis non",False,True,"Poitiers, Niort, Paris3"
Nostra Per Inceptos Institute,Patrick,Whitley,convallis.ante.lectus@auguemalesuada.com,07 92 03 54 74,2021-03-25 19:14:08,massa. Vestibulum accumsan neque et nunc. Quisque ornare tortor,True,True,"Poitiers, Paris3, Niort"
Bibendum Consulting,Brennan,Marsh,convallis.convallis.dolor@mollis.ca,09 01 14 97 54,2019-12-25 16:40:38,"blandit at, nisi. Cum sociis natoque penatibus et magnis dis",False,True,"Niort, Paris3, Poitiers"
Ipsum Curabitur Limited,Jakeem,Mack,blandit.enim.consequat@atarcu.org,05 44 76 81 96,2021-02-08 04:10:59,"Cum sociis natoque penatibus et magnis dis parturient montes,",False,True,"Poitiers, Paris3, Niort"
Consequat Enim LLC,Rashad,Giles,dolor@ategestasa.edu,03 71 56 73 67,2019-08-17 22:50:41,"Integer sem elit, pharetra ut, pharetra sed, hendrerit",False,True,"Niort, Poitiers, Paris3"
Amet Industries,Jared,Wynn,egestas.nunc@lectusasollicitudin.edu,01 74 98 03 89,2019-07-01 20:26:00,"quis accumsan convallis, ante lectus convallis est, vitae",False,True,"Poitiers, Paris3, Niort"
Libero Proin Mi Associates,Mark,Frazier,augue.eu@per.com,05 50 95 02 44,2019-09-13 08:47:48,"in, tempus eu, ligula. Aenean euismod mauris eu elit.",False,True,"Poitiers, Niort, Paris3"
Lorem Tristique Inc.,Alfonso,Johnson,Class.aptent@vel.net,04 95 51 78 57,2021-02-21 20:39:32,"penatibus et magnis dis parturient montes, nascetur ridiculus",True,True,"Paris3, Poitiers, Niort"
Nullam Lobortis Quam LLP,Kennan,Austin,mauris.a@dolor.net,02 67 43 28 67,2020-07-24 13:34:17,Integer id magna et ipsum cursus vestibulum. Mauris,True,True,"Niort, Poitiers, Paris3"
Sit Amet Dapibus Incorporated,Chadwick,Garza,urna.Nunc.quis@ante.edu,06 52 40 39 68,2019-10-19 16:21:42,metus eu erat semper rutrum. Fusce dolor,False,True,"Paris3, Poitiers, Niort"
Maecenas Ornare Egestas LLP,Felix,Edwards,nunc@ultrices.org,09 74 75 72 73,2019-11-02 07:15:50,"elit, pellentesque a, facilisis non, bibendum sed, est. Nunc laoreet",False,True,"Niort, Poitiers, Paris3"
Sed Et Libero Incorporated,Harper,Monroe,sapien.cursus@adui.co.uk,06 06 82 00 62,2020-12-11 00:51:28,erat vitae risus. Duis a,False,True,"Paris3, Niort, Poitiers"
Nisi Aenean Inc.,Ferris,Owen,in.cursus.et@accumsan.ca,04 12 46 16 00,2019-04-25 15:03:51,amet diam eu dolor egestas rhoncus. Proin nisl,True,True,"Poitiers, Niort, Paris3"
Integer Aliquam Adipiscing LLP,Garrett,Stanley,ipsum@Nam.com,05 54 01 22 13,2020-07-05 10:10:49,"aliquet, sem ut cursus luctus, ipsum leo elementum sem, vitae",False,True,"Poitiers, Paris3, Niort"
Vitae Velit Ltd,Francis,Rosa,habitant@habitant.org,03 92 02 69 14,2019-11-21 23:59:40,"lorem ipsum sodales purus, in molestie tortor nibh sit",False,True,"Niort, Paris3, Poitiers"
Vitae Sodales Nisi LLC,Dominic,Pruitt,et.magna.Praesent@aliquet.edu,01 26 24 43 29,2020-03-21 00:56:20,"vitae, erat. Vivamus nisi. Mauris",False,True,"Niort, Poitiers, Paris3"
Aliquam Eros PC,Levi,Cantu,magna@Maecenasornare.ca,06 53 23 02 46,2019-06-03 01:30:50,pellentesque. Sed dictum. Proin eget odio. Aliquam vulputate ullamcorper magna.,False,True,"Niort, Poitiers, Paris3"
Venenatis Associates,Steel,Moon,Pellentesque.habitant@Nulla.ca,09 93 56 86 78,2020-04-22 16:14:24,arcu. Morbi sit amet massa. Quisque porttitor,True,True,"Poitiers, Niort, Paris3"
Cursus Corp.,Knox,Frost,risus.Quisque@facilisi.edu,04 65 31 83 18,2021-03-20 20:12:30,"magna, malesuada vel, convallis in, cursus",True,True,"Paris3, Poitiers, Niort"
Mauris Associates,Randall,Burt,Vivamus@Donecnon.edu,04 91 78 87 54,2020-03-03 22:27:26,"lectus, a sollicitudin orci sem eget",False,True,"Niort, Poitiers, Paris3"
Est Arcu Institute,Dante,Gamble,pellentesque.eget@molestiesodales.co.uk,07 71 82 19 96,2019-12-30 13:26:37,Aenean eget magna. Suspendisse tristique neque,False,True,"Paris3, Poitiers, Niort"
Cras Industries,Louis,Higgins,a.magna@at.org,01 33 09 67 82,2021-01-28 07:02:27,"justo nec ante. Maecenas mi felis, adipiscing fringilla,",False,True,"Niort, Poitiers, Paris3"
Purus Limited,Hu,Alston,purus@tempusnonlacinia.org,02 89 67 28 20,2019-05-25 07:13:53,"neque sed dictum eleifend, nunc risus varius orci, in consequat",False,True,"Poitiers, Niort, Paris3"
Lorem Auctor Foundation,Timon,Sanford,tempus.non@dui.co.uk,07 36 18 98 49,2019-10-23 23:45:36,iaculis odio. Nam interdum enim non,True,True,"Poitiers, Niort, Paris3"
Enim Diam Vel LLC,Lane,Bauer,placerat@blanditcongue.ca,02 05 55 09 64,2020-02-04 21:51:21,"ut, sem. Nulla interdum. Curabitur dictum. Phasellus in",False,True,"Niort, Poitiers, Paris3"
Ipsum Nunc Company,Gray,Solomon,adipiscing.lacus.Ut@euismodacfermentum.ca,04 45 09 02 06,2019-09-23 13:48:31,congue turpis. In condimentum. Donec at arcu. Vestibulum ante,True,True,"Poitiers, Niort, Paris3"
Vulputate Dui Corp.,Grady,Glass,quis.lectus@Suspendissecommodo.ca,06 46 21 66 77,2020-10-01 17:46:43,"pede sagittis augue, eu tempor erat neque non quam. Pellentesque",True,True,"Poitiers, Paris3, Niort"
